"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 00:39:55 GMT 2024","Fri Jan 26 00:39:56 GMT 2024","481","","com.reqres.test.CreateUserTest","","com.reqres.test.CreateUserTest","givenValidUser_whenCreatingUserWithInvalidEndpoint_thenShouldReturn404StatusCode","givenValidUser_whenCreatingUserWithInvalidEndpoint_thenShouldReturn404StatusCode",""
"failed","Fri Jan 26 00:39:55 GMT 2024","Fri Jan 26 00:39:55 GMT 2024","275","","com.reqres.test.CreateUserTest","","com.reqres.test.CreateUserTest","givenValidUser_whenCreateUser_thenTheUserIsRegistered","givenValidUser_whenCreateUser_thenTheUserIsRegistered [2] false",""
"passed","Fri Jan 26 00:39:54 GMT 2024","Fri Jan 26 00:39:55 GMT 2024","936","","com.reqres.test.CreateUserTest","","com.reqres.test.CreateUserTest","givenValidUser_whenCreateUser_thenTheUserIsRegistered","givenValidUser_whenCreateUser_thenTheUserIsRegistered [1] true",""
"failed","Fri Jan 26 00:39:52 GMT 2024","Fri Jan 26 00:39:54 GMT 2024","1635","","com.reqres.test.CreateUserTest","","com.reqres.test.CreateUserTest","givenValidUser_whenCreatingUserWithInvalidBody_thenShouldReturn400StatusCode","givenValidUser_whenCreatingUserWithInvalidBody_thenShouldReturn400StatusCode",""
